Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.4,0.41,0.4,0.4,117258400,0.0,0.0
1980-12-15,0.39,0.39,0.38,0.38,43971200,0.0,0.0
1980-12-16,0.36,0.36,0.36,0.36,26432000,0.0,0.0
1980-12-17,0.36,0.37,0.36,0.36,21610400,0.0,0.0
1980-12-18,0.38,0.38,0.38,0.38,18362400,0.0,0.0
1980-12-19,0.4,0.4,0.4,0.4,12157600,0.0,0.0
1980-12-22,0.42,0.42,0.42,0.42,9340800,0.0,0.0
1980-12-23,0.43,0.44,0.43,0.43,11737600,0.0,0.0
1980-12-24,0.46,0.46,0.46,0.46,12000800,0.0,0.0
1980-12-26,0.5,0.5,0.5,0.5,13893600,0.0,0.0
1980-12-29,0.51,0.51,0.51,0.51,23290400,0.0,0.0
1980-12-30,0.5,0.5,0.49,0.49,17220000,0.0,0.0
1980-12-31,0.48,0.48,0.48,0.48,8937600,0.0,0.0
1981-01-02,0.49,0.49,0.49,0.49,5415200,0.0,0.0
1981-01-05,0.48,0.48,0.48,0.48,8932000,0.0,0.0
1981-01-06,0.46,0.46,0.45,0.45,11289600,0.0,0.0
1981-01-07,0.44,0.44,0.43,0.43,13921600,0.0,0.0
1981-01-08,0.43,0.43,0.43,0.43,9956800,0.0,0.0
1981-01-09,0.45,0.45,0.45,0.45,5376000,0.0,0.0
1981-01-12,0.45,0.45,0.45,0.45,5924800,0.0,0.0
1981-01-13,0.43,0.43,0.43,0.43,5762400,0.0,0.0
1981-01-14,0.43,0.43,0.43,0.43,3572800,0.0,0.0
1981-01-15,0.44,0.44,0.44,0.44,3516800,0.0,0.0
1981-01-16,0.44,0.44,0.44,0.44,3348800,0.0,0.0
1981-01-19,0.46,0.46,0.46,0.46,10393600,0.0,0.0
1981-01-20,0.45,0.45,0.45,0.45,7520800,0.0,0.0
1981-01-21,0.46,0.46,0.46,0.46,3976000,0.0,0.0
1981-01-22,0.46,0.47,0.46,0.46,8887200,0.0,0.0
1981-01-23,0.46,0.46,0.46,0.46,2805600,0.0,0.0
1981-01-26,0.46,0.46,0.45,0.45,6160000,0.0,0.0
1981-01-27,0.45,0.45,0.45,0.45,5924800,0.0,0.0
1981-01-28,0.44,0.44,0.44,0.44,7039200,0.0,0.0
1981-01-29,0.42,0.42,0.42,0.42,10976000,0.0,0.0
1981-01-30,0.4,0.4,0.4,0.4,11547200,0.0,0.0
1981-02-02,0.38,0.38,0.38,0.38,5941600,0.0,0.0
1981-02-03,0.39,0.39,0.39,0.39,4788000,0.0,0.0
1981-02-04,0.4,0.4,0.4,0.4,6966400,0.0,0.0
1981-02-05,0.4,0.41,0.4,0.4,1982400,0.0,0.0
1981-02-06,0.4,0.41,0.4,0.4,3466400,0.0,0.0
1981-02-09,0.39,0.39,0.38,0.38,4188800,0.0,0.0
1981-02-10,0.38,0.39,0.38,0.38,4586400,0.0,0.0
1981-02-11,0.37,0.37,0.37,0.37,3460800,0.0,0.0
1981-02-12,0.37,0.37,0.37,0.37,3640000,0.0,0.0
1981-02-13,0.36,0.36,0.36,0.36,2788800,0.0,0.0
1981-02-17,0.37,0.37,0.37,0.37,3068800,0.0,0.0
1981-02-18,0.38,0.39,0.38,0.38,4810400,0.0,0.0
1981-02-19,0.36,0.36,0.36,0.36,5577600,0.0,0.0
1981-02-20,0.34,0.34,0.34,0.34,6092800,0.0,0.0
1981-02-23,0.35,0.35,0.35,0.35,3528000,0.0,0.0
1981-02-24,0.34,0.34,0.33,0.33,4244800,0.0,0.0
1981-02-25,0.36,0.36,0.36,0.36,4872000,0.0,0.0
1981-02-26,0.36,0.36,0.36,0.36,2710400,0.0,0.0
1981-02-27,0.37,0.38,0.37,0.37,3690400,0.0,0.0
1981-03-02,0.38,0.38,0.38,0.38,2940000,0.0,0.0
1981-03-03,0.37,0.37,0.37,0.37,4043200,0.0,0.0
1981-03-04,0.37,0.37,0.37,0.37,3427200,0.0,0.0
1981-03-05,0.37,0.37,0.36,0.36,1344000,0.0,0.0
1981-03-06,0.36,0.36,0.36,0.36,2900800,0.0,0.0
1981-03-09,0.33,0.33,0.33,0.33,3830400,0.0,0.0
1981-03-10,0.32,0.32,0.32,0.32,7095200,0.0,0.0
1981-03-11,0.31,0.31,0.3,0.3,7464800,0.0,0.0
1981-03-12,0.32,0.32,0.32,0.32,14812000,0.0,0.0
1981-03-13,0.32,0.32,0.31,0.31,57825600,0.0,0.0
1981-03-16,0.33,0.33,0.33,0.33,9307200,0.0,0.0
1981-03-17,0.34,0.35,0.34,0.34,10936800,0.0,0.0
1981-03-18,0.36,0.37,0.36,0.36,9234400,0.0,0.0
1981-03-19,0.36,0.36,0.36,0.36,9452800,0.0,0.0
1981-03-20,0.36,0.37,0.36,0.36,3651200,0.0,0.0
1981-03-23,0.38,0.38,0.38,0.38,5504800,0.0,0.0
1981-03-24,0.38,0.38,0.38,0.38,7039200,0.0,0.0
1981-03-25,0.37,0.37,0.37,0.37,1764000,0.0,0.0
1981-03-26,0.36,0.36,0.36,0.36,3068800,0.0,0.0
1981-03-27,0.35,0.35,0.35,0.35,3063200,0.0,0.0
1981-03-30,0.35,0.35,0.35,0.35,2475200,0.0,0.0
1981-03-31,0.35,0.35,0.35,0.35,3998400,0.0,0.0
1981-04-01,0.34,0.34,0.34,0.34,8517600,0.0,0.0
1981-04-02,0.37,0.37,0.37,0.37,7851200,0.0,0.0
1981-04-03,0.37,0.38,0.37,0.37,4121600,0.0,0.0
1981-04-06,0.37,0.37,0.37,0.37,5700800,0.0,0.0
1981-04-07,0.36,0.36,0.36,0.36,2671200,0.0,0.0
1981-04-08,0.38,0.38,0.38,0.38,5488000,0.0,0.0
1981-04-09,0.39,0.39,0.39,0.39,3124800,0.0,0.0
1981-04-10,0.39,0.39,0.39,0.39,8366400,0.0,0.0
1981-04-13,0.39,0.39,0.39,0.39,4015200,0.0,0.0
1981-04-14,0.39,0.39,0.39,0.39,1663200,0.0,0.0
1981-04-15,0.38,0.38,0.37,0.37,8512000,0.0,0.0
1981-04-16,0.35,0.35,0.35,0.35,5969600,0.0,0.0
1981-04-20,0.36,0.36,0.36,0.36,8836800,0.0,0.0
1981-04-21,0.39,0.39,0.39,0.39,7134400,0.0,0.0
1981-04-22,0.4,0.4,0.4,0.4,4748800,0.0,0.0
1981-04-23,0.41,0.41,0.41,0.41,14504000,0.0,0.0
1981-04-24,0.41,0.41,0.41,0.41,8764000,0.0,0.0
1981-04-27,0.41,0.41,0.4,0.4,9632000,0.0,0.0
1981-04-28,0.4,0.4,0.4,0.4,8047200,0.0,0.0
1981-04-29,0.39,0.39,0.39,0.39,3410400,0.0,0.0
1981-04-30,0.4,0.4,0.4,0.4,3152800,0.0,0.0
1981-05-01,0.4,0.4,0.4,0.4,4138400,0.0,0.0
1981-05-04,0.4,0.4,0.4,0.4,3612000,0.0,0.0
1981-05-05,0.4,0.4,0.4,0.4,4384800,0.0,0.0
1981-05-06,0.39,0.39,0.39,0.39,4737600,0.0,0.0
1981-05-07,0.39,0.39,0.39,0.39,2340800,0.0,0.0
1981-05-08,0.39,0.4,0.39,0.39,1976800,0.0,0.0
1981-05-11,0.39,0.39,0.39,0.39,2984800,0.0,0.0
1981-05-12,0.39,0.39,0.39,0.39,1064000,0.0,0.0
1981-05-13,0.39,0.39,0.38,0.38,1226400,0.0,0.0
1981-05-14,0.38,0.38,0.38,0.38,1232000,0.0,0.0
1981-05-15,0.39,0.39,0.39,0.39,1226400,0.0,0.0
1981-05-18,0.39,0.4,0.39,0.39,1041600,0.0,0.0
1981-05-19,0.39,0.39,0.39,0.39,6356000,0.0,0.0
1981-05-20,0.4,0.4,0.4,0.4,3320800,0.0,0.0
1981-05-21,0.42,0.42,0.42,0.42,8052800,0.0,0.0
1981-05-22,0.44,0.45,0.44,0.44,7856800,0.0,0.0
1981-05-26,0.44,0.44,0.44,0.44,21336000,0.0,0.0
1981-05-27,0.46,0.47,0.46,0.46,37374400,0.0,0.0
1981-05-28,0.46,0.47,0.46,0.46,18496800,0.0,0.0
1981-05-29,0.47,0.47,0.47,0.47,14845600,0.0,0.0
1981-06-01,0.47,0.47,0.47,0.47,12812800,0.0,0.0
1981-06-02,0.45,0.45,0.44,0.44,10108000,0.0,0.0
1981-06-03,0.44,0.45,0.44,0.44,9861600,0.0,0.0
1981-06-04,0.45,0.45,0.45,0.45,14016800,0.0,0.0
1981-06-05,0.45,0.45,0.45,0.45,14420000,0.0,0.0
1981-06-08,0.43,0.43,0.43,0.43,23374400,0.0,0.0
1981-06-09,0.44,0.44,0.44,0.44,29898400,0.0,0.0
1981-06-10,0.44,0.45,0.44,0.44,6305600,0.0,0.0
1981-06-11,0.46,0.46,0.46,0.46,9744000,0.0,0.0
1981-06-12,0.46,0.46,0.46,0.46,6451200,0.0,0.0
1981-06-15,0.46,0.46,0.46,0.46,35940800,0.0,0.0
1981-06-16,0.45,0.45,0.45,0.45,9312800,0.0,0.0
1981-06-17,0.44,0.44,0.44,0.44,6893600,0.0,0.0
1981-06-18,0.44,0.44,0.44,0.44,5762400,0.0,0.0
1981-06-19,0.43,0.43,0.43,0.43,6876800,0.0,0.0
1981-06-22,0.41,0.41,0.41,0.41,2710400,0.0,0.0
1981-06-23,0.42,0.42,0.42,0.42,3757600,0.0,0.0
1981-06-24,0.41,0.41,0.41,0.41,5756800,0.0,0.0
1981-06-25,0.42,0.42,0.42,0.42,6064800,0.0,0.0
1981-06-26,0.41,0.41,0.41,0.41,5947200,0.0,0.0
1981-06-29,0.4,0.4,0.4,0.4,2648800,0.0,0.0
1981-06-30,0.37,0.37,0.37,0.37,8976800,0.0,0.0
1981-07-01,0.36,0.36,0.36,0.36,42616000,0.0,0.0
1981-07-02,0.36,0.36,0.36,0.36,7571200,0.0,0.0
1981-07-06,0.35,0.35,0.35,0.35,4132800,0.0,0.0
1981-07-07,0.35,0.36,0.35,0.35,3959200,0.0,0.0
1981-07-08,0.37,0.37,0.37,0.37,4155200,0.0,0.0
1981-07-09,0.34,0.34,0.34,0.34,8220800,0.0,0.0
1981-07-10,0.32,0.32,0.31,0.31,13792800,0.0,0.0
1981-07-13,0.32,0.32,0.32,0.32,11435200,0.0,0.0
1981-07-14,0.33,0.34,0.33,0.33,4944800,0.0,0.0
1981-07-15,0.34,0.35,0.34,0.34,2738400,0.0,0.0
1981-07-16,0.35,0.36,0.35,0.35,3808000,0.0,0.0
1981-07-17,0.36,0.37,0.36,0.36,4956000,0.0,0.0
1981-07-20,0.34,0.34,0.34,0.34,5913600,0.0,0.0
1981-07-21,0.34,0.34,0.34,0.34,7985600,0.0,0.0
1981-07-22,0.32,0.32,0.32,0.32,5667200,0.0,0.0
1981-07-23,0.33,0.33,0.33,0.33,8612800,0.0,0.0
1981-07-24,0.34,0.34,0.34,0.34,7212800,0.0,0.0
1981-07-27,0.35,0.35,0.35,0.35,4334400,0.0,0.0
1981-07-28,0.34,0.34,0.34,0.34,5712000,0.0,0.0
1981-07-29,0.34,0.34,0.33,0.33,3875200,0.0,0.0
1981-07-30,0.35,0.35,0.35,0.35,2475200,0.0,0.0
1981-07-31,0.35,0.35,0.35,0.35,2738400,0.0,0.0
1981-08-03,0.35,0.35,0.35,0.35,3108000,0.0,0.0
1981-08-04,0.35,0.36,0.35,0.35,7918400,0.0,0.0
1981-08-05,0.36,0.37,0.36,0.36,4373600,0.0,0.0
1981-08-06,0.36,0.36,0.36,0.36,2632000,0.0,0.0
1981-08-07,0.36,0.36,0.36,0.36,2301600,0.0,0.0
1981-08-11,0.35,0.35,0.35,0.35,17864000,0.0,0.0
1981-08-12,0.34,0.34,0.34,0.34,6568800,0.0,0.0
1981-08-13,0.33,0.33,0.33,0.33,6871200,0.0,0.0
1981-08-14,0.33,0.33,0.32,0.32,6048000,0.0,0.0
1981-08-17,0.32,0.32,0.31,0.31,4726400,0.0,0.0
1981-08-18,0.31,0.31,0.3,0.3,4250400,0.0,0.0
1981-08-19,0.3,0.3,0.3,0.3,5168800,0.0,0.0
1981-08-20,0.3,0.31,0.3,0.3,4278400,0.0,0.0
1981-08-21,0.29,0.29,0.28,0.28,10477600,0.0,0.0
1981-08-24,0.27,0.27,0.27,0.27,5768000,0.0,0.0
1981-08-25,0.27,0.27,0.27,0.27,10175200,0.0,0.0
1981-08-26,0.27,0.27,0.27,0.27,8400000,0.0,0.0
1981-08-27,0.27,0.27,0.27,0.27,6479200,0.0,0.0
1981-08-28,0.28,0.29,0.28,0.28,9508800,0.0,0.0
1981-08-31,0.28,0.29,0.28,0.28,10236800,0.0,0.0
1981-09-01,0.3,0.3,0.3,0.3,9256800,0.0,0.0
1981-09-02,0.31,0.31,0.31,0.31,4844000,0.0,0.0
1981-09-03,0.29,0.29,0.29,0.29,9368800,0.0,0.0
1981-09-04,0.29,0.29,0.29,0.29,3813600,0.0,0.0
1981-09-08,0.28,0.28,0.28,0.28,6361600,0.0,0.0
1981-09-09,0.28,0.28,0.28,0.28,7632800,0.0,0.0
1981-09-10,0.28,0.28,0.28,0.28,8702400,0.0,0.0
1981-09-11,0.28,0.28,0.28,0.28,4384800,0.0,0.0
1981-09-14,0.27,0.27,0.27,0.27,6921600,0.0,0.0
1981-09-15,0.26,0.26,0.26,0.26,4877600,0.0,0.0
1981-09-16,0.26,0.26,0.26,0.26,4838400,0.0,0.0
1981-09-17,0.25,0.25,0.25,0.25,4844000,0.0,0.0
1981-09-18,0.25,0.25,0.25,0.25,6580000,0.0,0.0
1981-09-21,0.25,0.25,0.25,0.25,12258400,0.0,0.0
1981-09-22,0.24,0.24,0.24,0.24,11855200,0.0,0.0
1981-09-23,0.24,0.24,0.23,0.23,7050400,0.0,0.0
1981-09-24,0.23,0.23,0.23,0.23,4575200,0.0,0.0
1981-09-25,0.2,0.2,0.2,0.2,8652000,0.0,0.0
1981-09-28,0.2,0.2,0.2,0.2,22932000,0.0,0.0
1981-09-29,0.21,0.21,0.21,0.21,23671200,0.0,0.0
