Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-03-15,1.2,1.37,1.17,1.35,92646400,0.0,0.0
1995-03-16,1.49,1.53,1.43,1.49,22867200,0.0,0.0
1995-03-17,1.49,1.49,1.43,1.43,17163700,0.0,0.0
1995-03-20,1.43,1.43,1.4,1.43,7141300,0.0,0.0
1995-03-21,1.43,1.51,1.41,1.49,8198400,0.0,0.0
1995-03-22,1.5,1.79,1.5,1.67,18216500,0.0,0.0
1995-03-23,1.66,1.7,1.63,1.64,8507700,0.0,0.0
1995-03-24,1.65,1.66,1.61,1.64,2049000,0.0,0.0
1995-03-27,1.64,1.67,1.61,1.67,2526900,0.0,0.0
1995-03-28,1.67,1.79,1.67,1.72,13986100,0.0,0.0
1995-03-29,1.74,1.78,1.7,1.73,5116800,0.0,0.0
1995-03-30,1.71,1.71,1.58,1.63,3025000,0.0,0.0
1995-03-31,1.61,1.69,1.58,1.69,4603700,0.0,0.0
1995-04-03,1.68,1.68,1.63,1.65,3210600,0.0,0.0
1995-04-04,1.64,1.65,1.54,1.55,2643200,0.0,0.0
1995-04-05,1.55,1.55,1.5,1.52,4864000,0.0,0.0
1995-04-06,1.53,1.55,1.52,1.52,2638900,0.0,0.0
1995-04-07,1.52,1.54,1.49,1.52,1559400,0.0,0.0
1995-04-10,1.52,1.62,1.49,1.59,2995200,0.0,0.0
1995-04-11,1.59,1.61,1.58,1.59,2439400,0.0,0.0
1995-04-12,1.6,1.63,1.6,1.62,4126900,0.0,0.0
1995-04-13,1.64,1.64,1.58,1.59,781800,0.0,0.0
1995-04-17,1.58,1.61,1.54,1.54,1000500,0.0,0.0
1995-04-18,1.54,1.56,1.49,1.51,1351400,0.0,0.0
1995-04-19,1.51,1.52,1.49,1.49,1766400,0.0,0.0
1995-04-20,1.5,1.52,1.49,1.49,1704500,0.0,0.0
1995-04-21,1.52,1.52,1.52,1.52,652800,0.0,0.0
1995-04-24,1.52,1.73,1.52,1.71,5712000,0.0,0.0
1995-04-25,1.69,1.7,1.64,1.64,1277800,0.0,0.0
1995-04-26,1.64,1.72,1.64,1.7,2708200,0.0,0.0
1995-04-27,1.7,1.73,1.69,1.71,2250600,0.0,0.0
1995-04-28,1.7,1.7,1.62,1.64,1061300,0.0,0.0
1995-05-01,1.66,1.66,1.63,1.64,1065600,0.0,0.0
1995-05-02,1.66,1.66,1.63,1.64,354100,0.0,0.0
1995-05-03,1.63,1.7,1.63,1.69,2008500,0.0,0.0
1995-05-04,1.7,1.86,1.7,1.8,8756200,0.0,0.0
1995-05-05,1.8,1.86,1.8,1.82,2449000,0.0,0.0
1995-05-08,1.81,1.87,1.8,1.85,1575400,0.0,0.0
1995-05-09,1.85,1.85,1.78,1.8,2669800,0.0,0.0
1995-05-10,1.77,1.77,1.73,1.74,4389300,0.0,0.0
1995-05-11,1.75,1.75,1.7,1.7,973800,0.0,0.0
1995-05-12,1.7,1.83,1.7,1.8,2487400,0.0,0.0
1995-05-15,1.82,1.86,1.8,1.85,1851700,0.0,0.0
1995-05-16,1.84,1.86,1.83,1.85,696500,0.0,0.0
1995-05-17,1.93,2.06,1.91,2.04,7186100,0.0,0.0
1995-05-18,2.1,2.16,2.05,2.1,3654400,0.0,0.0
1995-05-19,2.02,2.07,2.02,2.03,2304000,0.0,0.0
1995-05-22,2.04,2.06,1.97,2.0,789300,0.0,0.0
1995-05-23,2.01,2.07,1.96,2.07,3474100,0.0,0.0
1995-05-24,2.12,2.19,2.11,2.13,6852200,0.0,0.0
1995-05-25,2.17,2.18,2.07,2.07,2332800,0.0,0.0
1995-05-26,2.07,2.09,2.05,2.05,661300,0.0,0.0
1995-05-30,2.07,2.1,1.96,1.97,1842100,0.0,0.0
1995-05-31,1.94,1.97,1.89,1.94,2929000,0.0,0.0
1995-06-01,1.95,1.96,1.92,1.96,379700,0.0,0.0
1995-06-02,1.93,2.01,1.92,2.0,1778100,0.0,0.0
1995-06-05,2.01,2.03,2.0,2.02,998400,0.0,0.0
1995-06-06,2.0,2.01,1.98,1.98,632500,0.0,0.0
1995-06-07,2.01,2.02,1.98,1.99,727400,0.0,0.0
1995-06-08,2.01,2.03,2.01,2.01,326400,0.0,0.0
1995-06-09,2.03,2.05,2.01,2.03,230400,0.0,0.0
1995-06-12,2.03,2.04,2.02,2.02,200500,0.0,0.0
1995-06-13,2.04,2.05,2.02,2.03,370100,0.0,0.0
1995-06-14,2.02,2.02,2.0,2.0,679400,0.0,0.0
1995-06-15,2.0,2.05,1.98,2.01,1202100,0.0,0.0
1995-06-16,2.03,2.03,2.01,2.01,228200,0.0,0.0
1995-06-19,2.01,2.04,2.01,2.03,2421300,0.0,0.0
1995-06-20,2.03,2.04,2.01,2.04,5568000,0.0,0.0
1995-06-21,2.06,2.06,2.02,2.02,2055400,0.0,0.0
1995-06-22,2.01,2.04,1.98,1.99,694400,0.0,0.0
1995-06-23,1.98,2.01,1.95,1.99,2817000,0.0,0.0
1995-06-26,2.02,2.07,2.01,2.04,2220800,0.0,0.0
1995-06-27,2.04,2.06,2.0,2.01,984500,0.0,0.0
1995-06-28,1.98,1.99,1.97,1.98,466100,0.0,0.0
1995-06-29,1.99,2.13,1.99,2.11,1145600,0.0,0.0
1995-06-30,2.1,2.23,2.1,2.16,2346600,0.0,0.0
1995-07-03,2.22,2.22,2.2,2.22,276200,0.0,0.0
1995-07-05,2.31,2.36,2.3,2.32,2864000,0.0,0.0
1995-07-06,2.38,2.43,2.28,2.32,1438900,0.0,0.0
1995-07-07,2.36,2.42,2.36,2.38,966400,0.0,0.0
