Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-07-09,7.76,8.03,7.67,7.99,1116800,0.0,0.0
1986-07-10,8.03,8.08,7.76,7.94,595600,0.0,0.0
1986-07-11,7.89,7.94,7.67,7.67,800400,0.0,0.0
1986-07-14,7.71,7.71,7.35,7.44,738000,0.0,0.0
1986-07-15,7.4,7.4,6.76,7.21,2059200,0.0,0.0
1986-07-16,7.21,7.62,7.21,7.35,1160400,0.0,0.0
1986-07-17,7.35,7.44,7.26,7.4,1046000,0.0,0.0
1986-07-18,7.4,7.51,7.26,7.44,1420000,0.0,0.0
1986-07-21,7.44,7.49,7.4,7.44,322800,0.0,0.0
1986-07-22,7.44,7.46,7.4,7.4,390800,0.0,0.0
1986-07-23,7.44,7.44,7.26,7.31,1004000,0.0,0.0
1986-07-24,7.31,7.35,7.12,7.21,1071600,0.0,0.0
1986-07-25,7.21,7.35,7.17,7.31,688400,0.0,0.0
1986-07-28,7.31,7.44,7.24,7.35,414800,0.0,0.0
1986-07-29,7.26,7.4,7.26,7.4,278400,0.0,0.0
1986-07-30,7.31,7.35,7.17,7.35,459200,0.0,0.0
1986-07-31,7.35,7.44,7.26,7.31,1213600,0.0,0.0
1986-08-01,7.26,7.35,7.08,7.08,1118000,0.0,0.0
1986-08-04,7.12,7.12,6.92,7.08,892400,0.0,0.0
1986-08-05,7.08,7.08,6.9,6.94,868800,0.0,0.0
1986-08-06,6.94,6.99,6.62,6.62,550400,0.0,0.0
1986-08-07,6.53,6.58,5.9,6.08,7560000,0.0,0.0
1986-08-08,6.13,6.49,6.08,6.44,2802000,0.0,0.0
1986-08-11,6.53,6.62,6.44,6.62,1428000,0.0,0.0
1986-08-12,6.62,6.85,6.62,6.81,1155200,0.0,0.0
1986-08-13,6.85,7.33,6.81,7.03,865600,0.0,0.0
1986-08-14,7.08,7.12,6.81,6.9,762000,0.0,0.0
1986-08-15,6.9,6.9,6.67,6.81,654400,0.0,0.0
1986-08-18,6.85,7.17,6.72,7.03,606800,0.0,0.0
1986-08-19,7.08,7.08,6.9,6.94,2744000,0.0,0.0
1986-08-20,6.94,6.94,6.81,6.9,500000,0.0,0.0
1986-08-21,6.9,6.94,6.85,6.85,353200,0.0,0.0
1986-08-22,6.9,6.94,6.81,6.81,286000,0.0,0.0
1986-08-25,6.9,6.9,6.62,6.72,766400,0.0,0.0
1986-08-26,6.67,6.81,6.67,6.81,408800,0.0,0.0
1986-08-27,6.81,6.81,6.67,6.76,686400,0.0,0.0
1986-08-28,6.76,6.76,6.62,6.67,286000,0.0,0.0
1986-08-29,6.62,6.72,6.58,6.62,1128800,0.0,0.0
1986-09-02,6.67,6.67,6.31,6.35,916800,0.0,0.0
1986-09-03,6.35,6.49,6.31,6.49,684400,0.0,0.0
