Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.2,0.21,0.2,0.2,10924800,0.0,0.0
1980-03-18,0.2,0.2,0.2,0.2,17068800,0.0,0.0
1980-03-19,0.21,0.21,0.21,0.21,18508800,0.0,0.0
1980-03-20,0.21,0.21,0.2,0.2,11174400,0.0,0.0
1980-03-21,0.2,0.2,0.2,0.2,12172800,0.0,0.0
1980-03-24,0.2,0.2,0.19,0.19,8966400,0.0,0.0
1980-03-25,0.19,0.2,0.19,0.19,11347200,0.0,0.0
1980-03-26,0.19,0.2,0.19,0.19,16262400,0.0,0.0
1980-03-27,0.19,0.19,0.19,0.19,26918400,0.0,0.0
1980-03-28,0.19,0.2,0.19,0.19,20102400,0.0,0.0
1980-03-31,0.2,0.2,0.2,0.2,9004800,0.0,0.0
1980-04-01,0.2,0.2,0.2,0.2,8179200,0.0,0.0
1980-04-02,0.2,0.21,0.2,0.2,12556800,0.0,0.0
1980-04-03,0.2,0.2,0.2,0.2,6988800,0.0,0.0
1980-04-07,0.2,0.2,0.19,0.19,13478400,0.0,0.0
1980-04-08,0.19,0.2,0.19,0.19,29184000,0.0,0.0
1980-04-09,0.19,0.19,0.19,0.19,11558400,0.0,0.0
1980-04-10,0.19,0.19,0.19,0.19,14784000,0.0,0.0
1980-04-11,0.19,0.19,0.19,0.19,9523200,0.0,0.0
1980-04-14,0.19,0.19,0.19,0.19,8025600,0.0,0.0
1980-04-15,0.19,0.19,0.19,0.19,10598400,0.0,0.0
1980-04-16,0.18,0.18,0.18,0.18,10752000,0.0,0.0
1980-04-17,0.18,0.18,0.18,0.18,17702400,0.0,0.0
1980-04-18,0.18,0.18,0.18,0.18,18739200,0.0,0.0
1980-04-21,0.18,0.18,0.18,0.18,9043200,0.0,0.0
1980-04-22,0.19,0.19,0.19,0.19,20428800,0.0,0.0
1980-04-23,0.2,0.2,0.2,0.2,14822400,0.0,0.0
1980-04-24,0.2,0.2,0.2,0.2,8832000,0.0,0.0
1980-04-25,0.2,0.2,0.2,0.2,7104000,0.0,0.0
1980-04-28,0.2,0.2,0.19,0.19,6931200,0.0,0.0
1980-04-29,0.2,0.2,0.2,0.2,6297600,0.0,0.0
1980-04-30,0.2,0.2,0.2,0.2,7065600,0.0,0.0
1980-05-01,0.2,0.2,0.2,0.2,7008000,0.0,0.0
1980-05-02,0.2,0.21,0.2,0.2,5510400,0.0,0.0
1980-05-05,0.2,0.21,0.2,0.2,3513600,0.0,0.0
1980-05-06,0.2,0.21,0.2,0.2,6988800,0.0,0.0
1980-05-07,0.2,0.21,0.2,0.2,6393600,0.0,0.0
