Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1970-01-02,0.26,0.26,0.25,0.25,475200,0.0,0.0
1970-01-05,0.25,0.26,0.25,0.25,669600,0.0,0.0
1970-01-06,0.25,0.25,0.25,0.25,568800,0.0,0.0
1970-01-07,0.25,0.26,0.25,0.25,892800,0.0,0.0
1970-01-08,0.25,0.26,0.25,0.25,496800,0.0,0.0
1970-01-09,0.25,0.26,0.25,0.25,1634400,0.0,0.0
1970-01-12,0.25,0.25,0.25,0.25,648000,0.0,0.0
1970-01-13,0.25,0.25,0.25,0.25,1159200,0.0,0.0
1970-01-14,0.25,0.25,0.25,0.25,525600,0.0,0.0
1970-01-15,0.25,0.25,0.25,0.25,1058400,0.0,0.0
1970-01-16,0.25,0.25,0.25,0.25,1720800,0.0,0.0
1970-01-19,0.25,0.25,0.25,0.25,3110400,0.0,0.0
1970-01-20,0.25,0.25,0.25,0.25,871200,0.0,0.0
1970-01-21,0.25,0.25,0.25,0.25,1044000,0.0,0.0
1970-01-22,0.25,0.25,0.25,0.25,792000,0.0,0.0
1970-01-23,0.25,0.25,0.25,0.25,972000,0.0,0.0
1970-01-26,0.25,0.25,0.24,0.24,1252800,0.0,0.0
1970-01-27,0.24,0.24,0.24,0.24,1605600,0.0,0.0
1970-01-28,0.24,0.24,0.23,0.24,914400,0.0,0.0
1970-01-29,0.24,0.24,0.23,0.23,1216800,0.0,0.0
1970-01-30,0.23,0.24,0.23,0.23,1454400,0.0,0.0
1970-02-02,0.23,0.23,0.23,0.23,813600,0.0,0.0
1970-02-03,0.24,0.25,0.24,0.25,2181600,0.0,0.0
1970-02-04,0.25,0.25,0.24,0.24,1476000,0.0,0.0
1970-02-05,0.24,0.25,0.24,0.25,489600,0.0,0.0
1970-02-06,0.25,0.25,0.24,0.24,302400,0.0,0.0
1970-02-09,0.24,0.25,0.24,0.25,784800,0.0,0.0
1970-02-10,0.25,0.25,0.24,0.24,439200,0.0,0.0
1970-02-11,0.24,0.25,0.24,0.25,367200,0.0,0.0
1970-02-12,0.25,0.25,0.25,0.25,590400,0.0,0.0
1970-02-13,0.25,0.25,0.25,0.25,597600,0.0,0.0
1970-02-16,0.25,0.25,0.25,0.25,698400,0.0,0.0
1970-02-17,0.25,0.25,0.25,0.25,1641600,0.0,0.0
1970-02-18,0.25,0.25,0.25,0.25,1713600,0.0,0.0
1970-02-19,0.25,0.25,0.25,0.25,921600,0.0,0.0
1970-02-20,0.25,0.25,0.25,0.25,1274400,0.0,0.0
1970-02-24,0.25,0.26,0.25,0.25,770400,0.0,0.0
1970-02-25,0.25,0.26,0.25,0.26,1346400,0.0,0.0
1970-02-26,0.26,0.26,0.25,0.25,2030400,0.0,0.0
1970-02-27,0.25,0.25,0.24,0.25,1447200,0.0,0.0
1970-03-02,0.25,0.25,0.24,0.24,583200,0.0,0.0
1970-03-03,0.24,0.25,0.24,0.25,1288800,0.0,0.0
1970-03-04,0.25,0.25,0.24,0.24,792000,0.0,0.0
1970-03-05,0.24,0.25,0.24,0.24,532800,0.0,0.0
1970-03-06,0.24,0.24,0.24,0.24,432000,0.0,0.0
1970-03-09,0.24,0.24,0.24,0.24,669600,0.0,0.0
1970-03-10,0.24,0.24,0.23,0.24,1195200,0.0,0.0
1970-03-11,0.24,0.24,0.23,0.24,979200,0.0,0.0
1970-03-12,0.24,0.24,0.23,0.23,1339200,0.0,0.0
1970-03-13,0.23,0.23,0.22,0.22,3304800,0.0,0.0
1970-03-16,0.22,0.22,0.22,0.22,1706400,0.0,0.0
1970-03-17,0.22,0.22,0.22,0.22,1094400,0.0,0.0
1970-03-18,0.22,0.23,0.22,0.23,1461600,0.0,0.0
1970-03-19,0.23,0.23,0.23,0.23,1216800,0.0,0.0
1970-03-20,0.23,0.23,0.22,0.22,1274400,0.0,0.0
1970-03-23,0.22,0.23,0.22,0.23,482400,0.0,0.0
1970-03-24,0.23,0.23,0.23,0.23,1519200,0.0,0.0
1970-03-25,0.23,0.24,0.23,0.24,1087200,0.0,0.0
1970-03-26,0.24,0.24,0.24,0.24,1051200,0.0,0.0
1970-03-30,0.24,0.24,0.24,0.24,540000,0.0,0.0
1970-03-31,0.23,0.23,0.23,0.23,1137600,0.0,0.0
1970-04-01,0.23,0.24,0.23,0.23,957600,0.0,0.0
1970-04-02,0.23,0.23,0.23,0.23,504000,0.0,0.0
1970-04-03,0.23,0.23,0.23,0.23,1087200,0.0,0.0
1970-04-06,0.23,0.23,0.23,0.23,712800,0.0,0.0
1970-04-07,0.23,0.23,0.22,0.23,705600,0.0,0.0
