Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-11-07,13.0,13.06,12.87,13.0,93500,0.0,0.0
1996-11-08,13.03,13.08,12.87,13.03,26300,0.0,0.0
1996-11-11,13.19,13.28,13.03,13.19,22000,0.0,0.0
1996-11-12,13.08,13.22,13.0,13.08,78300,0.0,0.0
1996-11-13,13.06,13.11,12.89,13.06,27000,0.0,0.0
1996-11-14,12.98,13.06,12.89,12.98,48600,0.0,0.0
1996-11-15,13.08,13.11,12.98,13.08,25400,0.0,0.0
1996-11-18,13.03,13.06,12.87,13.03,104900,0.0,0.0
1996-11-19,12.92,12.95,12.73,12.92,83900,0.0,0.0
1996-11-20,12.89,12.95,12.78,12.89,220500,0.0,0.0
1996-11-21,12.87,12.95,12.76,12.87,56400,0.0,0.0
1996-11-22,12.95,13.0,12.81,12.95,59100,0.0,0.0
1996-11-25,12.84,12.95,12.78,12.84,37700,0.0,0.0
1996-11-26,12.73,12.81,12.65,12.73,243000,0.0,0.0
1996-11-27,12.78,12.84,12.65,12.78,43000,0.0,0.0
1996-11-29,12.76,12.87,12.67,12.76,19100,0.0,0.0
1996-12-02,12.67,12.73,12.51,12.67,35700,0.0,0.0
1996-12-03,12.76,12.78,12.46,12.76,100200,0.0,0.0
1996-12-04,12.62,12.8,12.59,12.62,78300,0.0,0.0
1996-12-05,12.73,12.87,12.54,12.73,40300,0.0,0.0
1996-12-06,12.51,12.67,12.46,12.51,69100,0.0,0.0
1996-12-09,12.59,12.62,12.43,12.59,161100,0.0,0.0
1996-12-10,12.73,12.89,12.51,12.73,86600,0.0,0.0
1996-12-11,12.76,12.87,12.46,12.76,40300,0.0,0.0
1996-12-12,12.76,12.76,12.57,12.76,82500,0.0,0.0
1996-12-13,12.67,12.67,12.4,12.67,57100,0.0,0.0
1996-12-16,12.73,12.73,12.48,12.73,178300,0.0,0.0
1996-12-17,12.7,12.7,12.51,12.7,335200,0.0,0.0
1996-12-18,12.62,12.65,12.39,12.62,481400,0.0,0.0
1996-12-19,12.32,12.4,12.21,12.32,277600,0.0,0.0
1996-12-20,12.32,12.37,12.18,12.32,191200,0.0,0.0
1996-12-23,12.29,12.32,12.13,12.29,469100,0.0,0.0
1996-12-24,12.21,12.29,12.02,12.21,394300,0.0,0.0
1996-12-26,12.18,12.26,12.05,12.18,265300,0.0,0.0
1996-12-27,12.24,12.32,12.1,12.24,353100,0.0,0.0
1996-12-30,12.51,12.51,12.46,12.51,420700,0.0,0.0
1996-12-31,12.57,12.62,12.35,12.57,170000,0.0,0.0
1997-01-02,12.48,12.57,12.37,12.48,451000,0.0,0.0
1997-01-03,12.4,12.51,12.28,12.4,759300,0.0,0.0
1997-01-06,12.37,12.46,12.26,12.37,440500,0.0,0.0
1997-01-07,12.4,12.46,12.24,12.4,597200,0.0,0.0
1997-01-08,12.37,12.51,12.29,12.37,1456300,0.0,0.0
1997-01-09,12.46,12.51,12.32,12.46,603700,0.0,0.0
1997-01-10,12.37,12.43,12.18,12.37,811100,0.0,0.0
1997-01-13,12.46,12.51,12.29,12.46,1252500,0.0,0.0
1997-01-14,12.46,12.54,12.35,12.46,1118200,0.0,0.0
1997-01-15,12.4,12.48,12.3,12.4,1519700,0.0,0.0
1997-01-16,12.37,12.46,12.26,12.37,1291600,0.0,0.0
1997-01-17,12.21,12.46,12.05,12.21,1527500,0.0,0.0
1997-01-20,11.99,12.1,11.8,11.99,862600,0.0,0.0
1997-01-21,11.94,12.05,11.34,11.94,3189700,0.0,0.0
1997-01-22,12.1,12.13,11.8,12.1,1796000,0.0,0.0
1997-01-23,12.21,12.35,12.13,12.21,3276500,0.0,0.0
1997-01-24,12.35,12.37,12.07,12.35,527800,0.0,0.0
1997-01-27,12.35,12.43,12.07,12.35,1598100,0.0,0.0
1997-01-28,12.43,12.46,12.13,12.43,1404100,0.0,0.0
1997-01-29,12.4,12.43,12.29,12.4,1786000,0.0,0.0
1997-01-30,12.48,12.57,11.8,12.48,767500,0.0,0.0
1997-01-31,12.59,12.65,11.88,12.59,555500,0.0,0.0
1997-02-03,12.81,12.84,12.51,12.81,372700,0.0,0.0
1997-02-04,12.78,12.81,12.65,12.78,768400,0.0,0.0
1997-02-05,12.73,12.87,12.62,12.73,458200,0.0,0.0
1997-02-06,12.89,13.0,12.29,12.89,1207500,0.0,0.0
1997-02-07,12.87,13.08,12.78,12.87,1599200,0.0,0.0
1997-02-10,13.11,13.22,13.0,13.11,503000,0.0,0.0
1997-02-11,13.36,13.38,13.11,13.36,609500,0.0,0.0
1997-02-12,13.28,13.33,13.14,13.28,1336500,0.0,0.0
1997-02-13,13.19,13.38,13.0,13.19,2237300,0.0,0.0
1997-02-14,13.17,13.33,13.0,13.17,1306100,0.0,0.0
1997-02-18,13.14,13.19,12.29,13.14,1746700,0.0,0.0
1997-02-19,13.19,13.38,13.08,13.19,2985000,0.0,0.0
1997-02-20,13.27,13.44,13.19,13.27,2157800,0.0,0.0
1997-02-21,13.34,13.44,13.19,13.34,1050100,0.0,0.0
1997-02-24,13.38,13.38,13.14,13.38,927300,0.0,0.0
1997-02-25,13.38,13.44,13.19,13.38,845000,0.0,0.0
1997-02-26,12.73,12.95,12.65,12.73,432700,0.0,0.0
1997-02-27,12.7,12.87,12.54,12.7,410900,0.0,0.0
1997-02-28,12.59,12.76,12.37,12.59,332300,0.0,0.0
1997-03-03,12.51,12.57,12.05,12.51,492100,0.0,0.0
1997-03-04,12.52,12.87,12.43,12.52,372000,0.0,0.0
1997-03-05,12.73,12.78,12.54,12.73,693200,0.0,0.0
1997-03-06,12.92,12.98,12.78,12.92,523400,0.0,0.0
1997-03-07,13.14,13.19,12.84,13.14,867800,0.0,0.0
1997-03-10,13.41,13.44,13.06,13.41,409100,0.0,0.0
1997-03-11,13.33,13.49,13.11,13.33,300400,0.0,0.0
1997-03-12,13.52,13.52,13.22,13.52,324000,0.0,0.0
1997-03-13,13.11,13.3,13.03,13.11,474700,0.0,0.0
1997-03-14,13.25,13.25,13.03,13.25,300200,0.0,0.0
1997-03-17,13.08,13.17,12.87,13.08,385200,0.0,0.0
1997-03-18,13.17,13.33,13.03,13.17,763100,0.0,0.0
1997-03-19,13.28,13.33,13.17,13.28,468000,0.0,0.0
1997-03-20,12.96,13.22,12.84,12.96,1651200,0.0,0.0
1997-03-21,12.92,12.98,12.78,12.92,466200,0.0,0.0
1997-03-24,12.89,12.93,12.78,12.89,681400,0.0,0.0
1997-03-25,13.17,13.33,13.0,13.17,368500,0.0,0.0
1997-03-26,13.44,13.44,13.22,13.44,729800,0.0,0.0
1997-03-27,13.52,13.58,13.36,13.52,363100,0.0,0.0
1997-03-31,13.41,13.55,13.25,13.41,306400,0.0,0.0
1997-04-01,13.25,13.44,13.11,13.25,475800,0.0,0.0
1997-04-02,13.06,13.22,13.06,13.06,446100,0.0,0.0
1997-04-03,13.08,13.22,13.0,13.08,413500,0.0,0.0
1997-04-04,13.17,13.22,12.4,13.17,443700,0.0,0.0
1997-04-07,13.25,13.28,13.06,13.25,639900,0.0,0.0
