Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-09-18,9.19,9.19,9.19,9.19,1200,0.0,0.0
1995-09-19,9.28,9.28,9.28,9.28,12000,0.0,0.0
1995-09-20,9.45,9.45,9.45,9.45,7600,0.0,0.0
1995-09-21,9.54,9.54,9.54,9.54,43200,0.0,0.0
1995-09-22,8.93,8.93,8.93,8.93,49600,0.0,0.0
1995-09-25,9.36,9.36,9.36,9.36,7200,0.0,0.0
1995-09-26,9.71,9.71,9.71,9.71,8800,0.0,0.0
1995-09-27,9.71,9.71,9.71,9.71,0,0.0,0.0
1995-09-28,9.5,9.5,9.5,9.5,2800,0.0,0.0
1995-09-29,9.54,9.54,9.54,9.54,13600,0.0,0.0
1995-10-02,9.54,9.54,9.54,9.54,75600,0.0,0.0
1995-10-03,9.5,9.5,9.5,9.5,3600,0.0,0.0
1995-10-04,9.71,9.71,9.71,9.71,80400,0.0,0.0
1995-10-05,9.36,9.36,9.36,9.36,400,0.0,0.0
1995-10-06,9.19,9.19,9.19,9.19,1200,0.0,0.0
1995-10-09,9.28,9.28,9.28,9.28,4800,0.0,0.0
1995-10-10,8.71,8.71,8.71,8.71,10800,0.0,0.0
1995-10-11,8.8,8.8,8.8,8.8,2800,0.0,0.0
1995-10-12,8.93,8.93,8.93,8.93,2800,0.0,0.0
1995-10-13,9.36,9.36,9.36,9.36,16800,0.0,0.0
1995-10-16,9.28,9.28,9.28,9.28,3600,0.0,0.0
1995-10-17,9.36,9.36,9.36,9.36,101200,0.0,0.0
1995-10-18,8.5,8.5,8.5,8.5,465600,0.0,0.0
1995-10-19,8.58,8.58,8.58,8.58,22800,0.0,0.0
1995-10-20,8.58,8.58,8.58,8.58,10800,0.0,0.0
1995-10-23,8.45,8.45,8.45,8.45,5200,0.0,0.0
1995-10-24,8.5,8.5,8.5,8.5,6400,0.0,0.0
1995-10-25,8.76,8.76,8.76,8.76,5200,0.0,0.0
1995-10-26,8.58,8.58,8.58,8.58,30000,0.0,0.0
1995-10-27,8.32,8.32,8.32,8.32,25600,0.0,0.0
1995-10-30,8.76,8.76,8.76,8.76,2800,0.0,0.0
1995-10-31,8.97,8.97,8.97,8.97,22800,0.0,0.0
1995-11-01,8.84,8.84,8.84,8.84,7200,0.0,0.0
1995-11-02,8.84,8.84,8.84,8.84,98400,0.0,0.0
1995-11-03,9.02,9.02,9.02,9.02,68400,0.0,0.0
1995-11-06,9.15,9.15,9.15,9.15,10000,0.0,0.0
1995-11-07,9.36,9.36,9.36,9.36,4800,0.0,0.0
1995-11-08,9.39,9.39,9.39,9.39,2400,0.0,0.0
1995-11-09,9.28,9.28,9.28,9.28,22000,0.0,0.0
1995-11-10,9.15,9.15,9.15,9.15,34800,0.0,0.0
1995-11-13,9.28,9.28,9.28,9.28,7200,0.0,0.0
1995-11-14,9.28,9.28,9.28,9.28,13600,0.0,0.0
1995-11-15,9.5,9.5,9.5,9.5,73200,0.0,0.0
1995-11-16,9.36,9.36,9.36,9.36,16800,0.0,0.0
1995-11-17,9.54,9.54,9.54,9.54,1200,0.0,0.0
1995-11-20,9.36,9.36,9.36,9.36,44400,0.0,0.0
1995-11-21,9.39,9.39,9.39,9.39,20800,0.0,0.0
1995-11-22,9.28,9.28,9.28,9.28,45600,0.0,0.0
1995-11-24,9.36,9.36,9.36,9.36,6400,0.0,0.0
1995-11-27,9.41,9.41,9.41,9.41,9600,0.0,0.0
1995-11-28,9.54,9.54,9.54,9.54,20800,0.0,0.0
1995-11-29,9.36,9.36,9.36,9.36,68400,0.0,0.0
1995-11-30,9.3,9.3,9.3,9.3,6400,0.0,0.0
1995-12-01,9.28,9.28,9.28,9.28,21600,0.0,0.0
1995-12-04,9.36,9.36,9.36,9.36,2400,0.0,0.0
1995-12-05,9.45,9.45,9.45,9.45,136800,0.0,0.0
1995-12-06,9.5,9.5,9.5,9.5,3600,0.0,0.0
1995-12-07,9.39,9.39,9.39,9.39,1600,0.0,0.0
1995-12-08,9.56,9.56,9.56,9.56,8800,0.0,0.0
1995-12-11,9.63,9.63,9.63,9.63,16000,0.0,0.0
1995-12-12,9.67,9.67,9.67,9.67,18000,0.0,0.0
1995-12-13,9.69,9.69,9.69,9.69,96000,0.0,0.0
1995-12-14,9.63,9.63,9.63,9.63,15600,0.0,0.0
1995-12-15,9.71,9.71,9.71,9.71,6400,0.0,0.0
1995-12-18,8.76,8.76,8.76,8.76,79200,0.0,0.0
1995-12-19,8.84,8.84,8.84,8.84,16800,0.0,0.0
1995-12-20,8.87,8.87,8.87,8.87,39600,0.0,0.0
