Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1976-08-18,1.46,1.46,1.46,1.46,19500.0,0.0,0.0
1976-08-19,1.46,1.46,1.46,1.46,500.0,0.0,0.0
1976-08-20,1.45,1.45,1.45,1.45,8000.0,0.0,0.0
1976-08-23,1.41,1.41,1.41,1.41,1000.0,0.0,0.0
1976-08-24,1.39,1.39,1.39,1.39,7500.0,0.0,0.0
1976-08-25,1.38,1.38,1.38,1.38,8000.0,0.0,0.0
1976-08-26,1.38,1.38,1.38,1.38,500.0,0.0,0.0
1976-08-27,1.43,1.43,1.43,1.43,2500.0,0.0,0.0
1976-08-30,1.4,1.4,1.4,1.4,40000.0,0.0,0.0
1976-08-31,1.4,1.4,1.4,1.4,500.0,0.0,0.0
1976-09-01,1.41,1.41,1.41,1.41,500.0,0.0,0.0
1976-09-02,1.39,1.39,1.39,1.39,65000.0,0.0,0.0
1976-09-03,1.36,1.36,1.36,1.36,500.0,0.0,0.0
1976-09-07,1.33,1.33,1.33,1.33,33500.0,0.0,0.0
1976-09-08,1.33,1.33,1.33,1.33,32000.0,0.0,0.0
1976-09-09,1.33,1.33,1.33,1.33,1000.0,0.0,0.0
1976-09-10,1.35,1.35,1.35,1.35,500.0,0.0,0.0
1976-09-13,1.32,1.32,1.32,1.32,114500.0,0.0,0.0
1976-09-14,1.31,1.31,1.31,1.31,22500.0,0.0,0.0
1976-09-15,1.31,1.31,1.31,1.31,32000.0,0.0,0.0
1976-09-16,1.29,1.29,1.29,1.29,67000.0,0.0,0.0
1976-09-17,1.29,1.29,1.29,1.29,500.0,0.0,0.0
1976-09-20,1.29,1.29,1.29,1.29,500.0,0.0,0.0
1976-09-21,1.29,1.29,1.29,1.29,80500.0,0.0,0.0
1976-09-22,1.29,1.29,1.29,1.29,1000.0,0.0,0.0
1976-09-23,1.29,1.29,1.29,1.29,500.0,0.0,0.0
1976-09-24,1.29,1.29,1.29,1.29,2500.0,0.0,0.0
1976-09-27,1.28,1.28,1.28,1.28,500.0,0.0,0.0
1976-09-28,1.28,1.28,1.28,1.28,44000.0,0.0,0.0
1976-09-29,1.3,1.3,1.3,1.3,22500.0,0.0,0.0
1976-09-30,1.29,1.29,1.29,1.29,500.0,0.0,0.0
1976-10-01,1.28,1.28,1.28,1.28,26000.0,0.0,0.0
1976-10-04,1.28,1.28,1.28,1.28,500.0,0.0,0.0
1976-10-05,1.29,1.29,1.29,1.29,8000.0,0.0,0.0
1976-10-06,1.3,1.3,1.3,1.3,10000.0,0.0,0.0
1976-10-07,1.32,1.32,1.32,1.32,8000.0,0.0,0.0
1976-10-08,1.33,1.33,1.33,1.33,31000.0,0.0,0.0
1976-10-11,1.32,1.32,1.32,1.32,2500.0,0.0,0.0
1976-10-12,1.29,1.29,1.29,1.29,17000.0,0.0,0.0
1976-10-13,1.3,1.3,1.3,1.3,7500.0,0.0,0.0
1976-10-14,1.31,1.31,1.31,1.31,500.0,0.0,0.0
1976-10-15,1.29,1.29,1.29,1.29,500.0,0.0,0.0
1976-10-18,1.33,1.33,1.33,1.33,500.0,0.0,0.0
1976-10-19,1.3,1.3,1.3,1.3,2500.0,0.0,0.0
1976-10-20,1.29,1.29,1.29,1.29,500.0,0.0,0.0
1976-10-21,1.32,1.32,1.32,1.32,44000.0,0.0,0.0
1976-10-22,1.33,1.33,1.33,1.33,15000.0,0.0,0.0
1976-10-25,1.36,1.36,1.36,1.36,15000.0,0.0,0.0
1976-10-26,1.36,1.36,1.36,1.36,2500.0,0.0,0.0
1976-10-27,1.39,1.39,1.39,1.39,7500.0,0.0,0.0
1976-10-28,1.42,1.42,1.42,1.42,500.0,0.0,0.0
1976-10-29,1.41,1.41,1.41,1.41,500.0,0.0,0.0
1976-11-01,1.41,1.41,1.41,1.41,1000.0,0.0,0.0
1976-11-03,1.36,1.36,1.36,1.36,25000.0,0.0,0.0
1976-11-04,1.36,1.36,1.36,1.36,35000.0,0.0,0.0
1976-11-05,1.32,1.32,1.32,1.32,2500.0,0.0,0.0
1976-11-08,1.32,1.32,1.32,1.32,8000.0,0.0,0.0
1976-11-09,1.32,1.32,1.32,1.32,500.0,0.0,0.0
1976-11-10,1.32,1.32,1.32,1.32,1000.0,0.0,0.0
1976-11-11,1.39,1.39,1.39,1.39,9000.0,0.0,0.0
1976-11-12,1.42,1.42,1.42,1.42,9000.0,0.0,0.0
1976-11-15,1.38,1.38,1.38,1.38,500.0,0.0,0.0
1976-11-16,1.35,1.35,1.35,1.35,500.0,0.0,0.0
1976-11-17,1.33,1.33,1.33,1.33,500.0,0.0,0.0
1976-11-18,1.32,1.32,1.32,1.32,18500.0,0.0,0.0
1976-11-19,1.33,1.33,1.33,1.33,2500.0,0.0,0.0
1976-11-22,1.36,1.36,1.36,1.36,500.0,0.0,0.0
1976-11-23,1.36,1.36,1.36,1.36,10000.0,0.0,0.0
