Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-10-09,3.08,3.58,3.08,3.45,10201100,0.0,0.0
1997-10-10,3.82,3.84,3.47,3.61,10668500,0.0,0.0
1997-10-13,3.61,3.61,3.51,3.53,3043300,0.0,0.0
1997-10-14,3.5,3.5,3.29,3.38,2549200,0.0,0.0
1997-10-15,3.17,3.29,3.16,3.29,3166400,0.0,0.0
1997-10-16,3.29,3.29,3.17,3.19,1770200,0.0,0.0
1997-10-17,3.04,3.05,2.9,2.91,3286800,0.0,0.0
1997-10-20,2.43,2.61,2.43,2.55,11499100,0.0,0.0
1997-10-21,2.66,2.91,2.65,2.91,6924100,0.0,0.0
1997-10-22,2.68,2.69,2.56,2.57,4457800,0.0,0.0
1997-10-23,2.49,2.49,2.32,2.42,12493100,0.0,0.0
1997-10-24,2.48,2.49,2.23,2.29,9497900,0.0,0.0
1997-10-27,2.23,2.23,1.98,1.98,4904100,0.0,0.0
1997-10-28,1.82,2.43,1.81,2.43,10416800,0.0,0.0
1997-10-29,2.23,2.29,2.2,2.21,7547200,0.0,0.0
1997-10-30,2.08,2.17,2.08,2.15,2796300,0.0,0.0
1997-10-31,2.23,2.34,2.22,2.29,3610300,0.0,0.0
1997-11-03,2.49,2.66,2.49,2.63,6204800,0.0,0.0
1997-11-04,2.61,2.66,2.56,2.63,3144600,0.0,0.0
1997-11-05,2.68,2.86,2.68,2.84,3978700,0.0,0.0
1997-11-06,2.94,2.95,2.79,2.82,3649300,0.0,0.0
1997-11-07,2.62,2.77,2.61,2.76,4470300,0.0,0.0
1997-11-10,2.87,2.88,2.77,2.77,2434600,0.0,0.0
1997-11-11,2.72,2.77,2.71,2.71,2194000,0.0,0.0
1997-11-12,2.63,2.63,2.56,2.56,3904600,0.0,0.0
1997-11-13,2.59,2.69,2.5,2.54,2481600,0.0,0.0
1997-11-14,2.59,2.63,2.5,2.54,2205400,0.0,0.0
1997-11-17,2.71,2.72,2.66,2.72,3289800,0.0,0.0
1997-11-18,2.63,2.63,2.53,2.55,2240200,0.0,0.0
1997-11-19,2.52,2.52,2.45,2.48,1442300,0.0,0.0
1997-11-20,2.43,2.46,2.41,2.42,2577600,0.0,0.0
1997-11-21,2.43,2.54,2.43,2.54,4222500,0.0,0.0
1997-11-24,2.42,2.49,2.42,2.48,2254200,0.0,0.0
1997-11-25,2.5,2.58,2.5,2.55,1083200,0.0,0.0
1997-11-26,2.52,2.53,2.48,2.5,1135900,0.0,0.0
