Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-12-14,11.75,11.86,11.7,11.7,16357200,0.0,0.0
1993-12-15,11.66,11.75,11.66,11.66,2894800,0.0,0.0
1993-12-16,11.68,11.84,11.66,11.73,2921600,0.0,0.0
1993-12-17,11.77,11.89,11.68,11.89,1894000,0.0,0.0
1993-12-20,11.91,12.09,11.89,12.09,2244800,0.0,0.0
1993-12-21,11.96,12.19,11.96,12.16,2350000,0.0,0.0
1993-12-22,12.21,12.67,12.19,12.64,2035200,0.0,0.0
1993-12-23,12.69,13.22,12.69,12.94,3963200,0.0,0.0
1993-12-27,12.99,13.08,12.92,13.08,780800,0.0,0.0
1993-12-28,13.01,13.22,12.94,13.03,798000,0.0,0.0
1993-12-29,12.94,12.97,12.71,12.81,1238800,0.0,0.0
1993-12-30,12.81,12.85,12.78,12.78,590400,0.0,0.0
1993-12-31,12.78,12.85,12.78,12.85,226000,0.0,0.0
1994-01-03,12.81,12.81,12.39,12.46,1462400,0.0,0.0
1994-01-04,12.37,12.81,12.21,12.69,3899200,0.0,0.0
1994-01-05,12.85,12.97,12.81,12.9,1864400,0.0,0.0
1994-01-06,12.94,12.99,12.67,12.67,1054000,0.0,0.0
1994-01-07,12.62,12.74,12.39,12.44,1199200,0.0,0.0
1994-01-10,12.12,12.21,11.98,12.09,1662800,0.0,0.0
1994-01-11,12.3,12.48,12.12,12.32,3570000,0.0,0.0
1994-01-12,12.39,12.48,12.25,12.25,1450800,0.0,0.0
1994-01-13,12.21,12.37,12.12,12.25,1152400,0.0,0.0
1994-01-14,12.3,12.35,12.12,12.19,878800,0.0,0.0
1994-01-17,12.19,12.28,12.09,12.28,566400,0.0,0.0
1994-01-18,12.37,12.53,12.3,12.53,946000,0.0,0.0
1994-01-19,12.53,12.76,12.48,12.71,1796400,0.0,0.0
1994-01-20,12.78,13.01,12.74,12.85,1570000,0.0,0.0
1994-01-21,12.99,13.13,12.9,12.9,790400,0.0,0.0
1994-01-24,12.67,12.99,12.62,12.94,719600,0.0,0.0
1994-01-25,12.76,12.85,12.69,12.76,1471600,0.0,0.0
1994-01-26,12.67,12.74,12.62,12.64,778400,0.0,0.0
1994-01-27,12.74,12.94,12.74,12.92,577600,0.0,0.0
1994-01-28,12.94,12.99,12.81,12.87,1367600,0.0,0.0
1994-01-31,12.99,13.08,12.92,13.03,1448000,0.0,0.0
1994-02-01,13.2,13.26,13.08,13.26,1081200,0.0,0.0
1994-02-02,13.22,13.49,13.15,13.45,587200,0.0,0.0
1994-02-03,13.47,13.47,13.22,13.4,1025600,0.0,0.0
1994-02-04,13.42,13.54,13.22,13.22,908000,0.0,0.0
1994-02-07,13.17,13.4,13.03,13.33,961200,0.0,0.0
1994-02-08,13.42,13.47,13.29,13.31,437600,0.0,0.0
1994-02-09,13.31,13.33,12.87,13.17,991600,0.0,0.0
1994-02-10,13.1,13.13,12.67,12.69,1051200,0.0,0.0
1994-02-11,12.64,12.71,12.39,12.67,910000,0.0,0.0
1994-02-14,12.62,12.78,12.62,12.69,1770000,0.0,0.0
1994-02-15,12.74,12.83,12.71,12.81,764000,0.0,0.0
1994-02-16,12.85,12.9,12.85,12.9,716800,0.0,0.0
1994-02-17,12.85,12.94,12.58,12.58,547600,0.0,0.0
1994-02-18,12.6,12.6,11.93,12.19,1192400,0.0,0.0
1994-02-22,12.3,12.3,12.02,12.21,1115200,0.0,0.0
1994-02-23,12.21,12.3,11.93,12.09,1532800,0.0,0.0
1994-02-24,12.14,12.14,11.75,11.82,622800,0.0,0.0
1994-02-25,11.8,11.98,11.75,11.77,1674000,0.0,0.0
1994-02-28,11.84,11.86,11.77,11.82,226800,0.0,0.0
1994-03-01,11.52,11.52,11.02,11.38,3279600,0.0,0.0
1994-03-02,10.92,11.43,10.85,11.38,2366000,0.0,0.0
1994-03-03,11.66,11.7,11.22,11.27,2355200,0.0,0.0
1994-03-04,11.38,11.38,11.2,11.31,1356000,0.0,0.0
1994-03-07,11.36,11.59,11.27,11.57,1864000,0.0,0.0
1994-03-08,11.63,11.63,11.2,11.38,3793600,0.0,0.0
