Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-03-19,11.72,13.59,10.83,11.13,708486000,0.0,0.0
2008-03-20,11.5,12.8,11.33,12.68,198985200,0.0,0.0
2008-03-24,13.24,13.34,11.62,11.77,149566400,0.0,0.0
2008-03-25,11.93,12.66,11.78,12.46,87092000,0.0,0.0
2008-03-26,12.36,12.7,12.13,12.6,43111600,0.0,0.0
2008-03-27,12.62,12.75,12.34,12.39,39829600,0.0,0.0
2008-03-28,12.48,12.5,12.24,12.36,24675200,0.0,0.0
2008-03-31,12.33,12.5,12.22,12.28,22157200,0.0,0.0
2008-04-01,12.42,12.54,11.88,12.14,60410800,0.0,0.0
2008-04-02,12.16,12.28,11.92,12.28,43836400,0.0,0.0
2008-04-03,12.2,13.06,12.18,12.9,100868000,0.0,0.0
2008-04-04,12.78,12.87,12.56,12.7,36394400,0.0,0.0
2008-04-07,12.82,12.96,12.61,12.81,28301600,0.0,0.0
2008-04-08,12.78,13.44,12.77,13.41,53925600,0.0,0.0
2008-04-09,13.48,13.54,12.92,12.96,48324400,0.0,0.0
2008-04-10,13.03,13.14,12.83,13.02,22372000,0.0,0.0
2008-04-11,12.85,13.15,12.85,13.02,26421600,0.0,0.0
2008-04-14,13.14,13.24,12.91,12.94,28443600,0.0,0.0
2008-04-15,13.06,13.11,12.61,12.68,23888000,0.0,0.0
2008-04-16,12.72,13.19,12.72,13.03,25136800,0.0,0.0
2008-04-17,13.05,13.35,13.0,13.21,22459600,0.0,0.0
2008-04-18,13.4,13.88,13.24,13.59,104099600,0.0,0.0
2008-04-21,13.69,14.28,13.56,13.98,58848000,0.0,0.0
2008-04-22,14.17,14.26,13.79,13.84,47357600,0.0,0.0
2008-04-23,13.98,14.12,13.73,13.8,37319600,0.0,0.0
2008-04-24,14.02,14.38,13.8,14.24,38086800,0.0,0.0
2008-04-25,14.97,14.99,14.56,14.79,101460000,0.0,0.0
2008-04-28,15.07,15.22,14.75,14.9,132517200,0.0,0.0
2008-04-29,14.61,15.93,13.99,15.93,197308400,0.0,0.0
2008-04-30,16.03,16.71,15.97,16.44,147543600,0.0,0.0
2008-05-01,16.62,17.26,16.53,16.82,116395600,0.0,0.0
2008-05-02,17.19,17.24,15.96,16.3,136648800,0.0,0.0
2008-05-05,16.32,16.84,15.92,16.76,70377200,0.0,0.0
2008-05-06,16.84,17.36,16.69,17.24,75913200,0.0,0.0
2008-05-07,17.5,17.7,17.27,17.43,100464800,0.0,0.0
2008-05-08,17.63,17.68,16.93,17.2,92836400,0.0,0.0
2008-05-09,16.9,17.07,16.25,16.32,94312000,0.0,0.0
2008-05-12,16.48,16.64,15.38,16.13,147471600,0.0,0.0
2008-05-13,16.12,16.45,15.91,16.23,53249600,0.0,0.0
2008-05-14,16.41,16.62,16.04,16.2,51400400,0.0,0.0
2008-05-15,16.26,16.34,15.98,16.2,36688800,0.0,0.0
2008-05-16,16.29,16.32,16.01,16.23,34066800,0.0,0.0
2008-05-19,16.21,16.69,16.18,16.41,45473200,0.0,0.0
2008-05-20,16.33,16.51,16.13,16.3,40702000,0.0,0.0
2008-05-21,16.29,16.43,15.86,15.93,41831600,0.0,0.0
2008-05-22,15.87,15.88,15.0,15.23,85283600,0.0,0.0
2008-05-23,14.94,15.23,14.8,15.04,42196400,0.0,0.0
2008-05-27,15.15,15.55,14.65,15.51,62776400,0.0,0.0
2008-05-28,15.82,16.14,15.67,16.14,52996000,0.0,0.0
2008-05-29,16.43,17.13,16.35,16.79,100613200,0.0,0.0
2008-05-30,16.94,17.25,16.9,17.01,72016000,0.0,0.0
2008-06-02,16.98,17.13,16.66,16.95,36856000,0.0,0.0
2008-06-03,17.14,17.32,16.95,17.25,48411600,0.0,0.0
2008-06-04,17.15,17.35,16.8,16.84,40684400,0.0,0.0
2008-06-05,17.03,17.18,16.86,17.18,27059600,0.0,0.0
2008-06-06,16.92,16.94,16.46,16.48,41748000,0.0,0.0
2008-06-09,16.55,16.73,15.87,16.18,45240000,0.0,0.0
2008-06-10,15.82,16.32,15.68,15.82,36048400,0.0,0.0
2008-06-11,15.96,15.96,15.29,15.31,56996400,0.0,0.0
2008-06-12,15.55,15.91,15.47,15.67,44605600,0.0,0.0
2008-06-13,15.81,16.11,15.79,16.06,30689200,0.0,0.0
2008-06-16,16.05,16.45,15.98,16.4,34384000,0.0,0.0
2008-06-17,16.57,16.74,16.48,16.68,33277600,0.0,0.0
2008-06-18,16.49,16.68,16.44,16.52,33724000,0.0,0.0
2008-06-19,16.44,16.63,16.08,16.6,36925200,0.0,0.0
2008-06-20,16.34,16.64,16.3,16.46,42546800,0.0,0.0
2008-06-23,16.52,16.62,15.96,15.97,30141200,0.0,0.0
2008-06-24,15.77,16.34,15.46,16.28,49891200,0.0,0.0
2008-06-25,16.42,16.63,16.12,16.16,50711600,0.0,0.0
2008-06-26,15.88,15.9,15.37,15.58,76562800,0.0,0.0
2008-06-27,15.52,16.32,15.47,16.27,176022800,0.0,0.0
2008-06-30,16.15,16.32,15.82,16.02,49301200,0.0,0.0
2008-07-01,15.69,16.04,15.6,16.04,44921600,0.0,0.0
2008-07-02,16.13,16.23,15.62,15.64,33804000,0.0,0.0
2008-07-03,15.63,15.72,15.22,15.38,28738800,0.0,0.0
2008-07-07,15.46,15.75,14.58,14.9,79944400,0.0,0.0
2008-07-08,14.75,15.66,14.23,15.57,95796400,0.0,0.0
2008-07-09,15.56,15.58,14.85,14.94,55322000,0.0,0.0
2008-07-10,14.92,15.29,14.55,15.22,52812000,0.0,0.0
2008-07-11,14.89,15.26,14.58,14.68,54645200,0.0,0.0
2008-07-14,14.99,15.01,14.28,14.3,42679600,0.0,0.0
2008-07-15,14.04,14.05,13.25,13.48,84268800,0.0,0.0
2008-07-16,13.46,14.29,13.1,14.23,92448800,0.0,0.0
2008-07-17,14.52,14.79,14.05,14.79,67268800,0.0,0.0
2008-07-18,14.62,14.67,14.21,14.46,46632000,0.0,0.0
2008-07-21,14.56,14.76,14.1,14.16,52937200,0.0,0.0
2008-07-22,13.71,14.62,13.37,14.59,65408000,0.0,0.0
2008-07-23,14.48,14.77,14.3,14.43,49942800,0.0,0.0
2008-07-24,14.36,14.52,13.78,13.8,36625600,0.0,0.0
2008-07-25,13.89,14.25,13.61,14.17,38690800,0.0,0.0
2008-07-28,14.26,14.5,13.84,13.9,35699200,0.0,0.0
2008-07-29,13.99,14.96,13.99,14.96,49040400,0.0,0.0
2008-07-30,15.22,15.54,14.63,15.45,76089200,0.0,0.0
2008-07-31,15.01,15.39,14.08,14.39,148888800,0.0,0.0
2008-08-01,14.44,14.6,13.86,14.13,61715600,0.0,0.0
2008-08-04,14.14,14.5,14.08,14.28,42686000,0.0,0.0
2008-08-05,14.42,14.62,14.25,14.5,34354800,0.0,0.0
2008-08-06,14.34,14.34,14.0,14.08,40924000,0.0,0.0
2008-08-07,13.94,14.03,13.66,13.69,43847200,0.0,0.0
2008-08-08,13.74,14.35,13.61,14.3,36354400,0.0,0.0
2008-08-11,14.27,15.07,14.17,14.73,55289200,0.0,0.0
2008-08-12,14.62,14.73,14.3,14.34,33734400,0.0,0.0
2008-08-13,14.41,14.69,14.36,14.65,29924800,0.105,0.0
2008-08-14,14.64,15.02,14.58,15.01,25839200,0.0,0.0
2008-08-15,15.06,15.16,14.83,15.02,26003200,0.0,0.0
2008-08-18,14.98,15.11,14.69,14.85,25850400,0.0,0.0
2008-08-19,14.75,14.91,14.58,14.61,21104800,0.0,0.0
2008-08-20,14.68,14.8,14.59,14.77,18118800,0.0,0.0
2008-08-21,14.65,14.79,14.5,14.74,15544800,0.0,0.0
2008-08-22,14.93,15.02,14.63,14.68,20955600,0.0,0.0
2008-08-25,14.57,14.84,14.49,14.53,18039600,0.0,0.0
2008-08-26,14.6,14.72,14.44,14.53,18667200,0.0,0.0
2008-08-27,14.47,14.76,14.43,14.75,19141600,0.0,0.0
2008-08-28,14.81,15.02,14.69,14.99,26741200,0.0,0.0
2008-08-29,14.85,15.06,14.8,15.04,19326400,0.0,0.0
2008-09-02,15.22,15.35,14.74,14.86,29898400,0.0,0.0
2008-09-03,14.77,14.93,14.28,14.47,35400800,0.0,0.0
2008-09-04,14.37,14.39,13.82,13.97,37670000,0.0,0.0
2008-09-05,13.86,14.26,13.72,14.22,40616800,0.0,0.0
2008-09-08,14.56,14.72,13.61,13.89,56669600,0.0,0.0
2008-09-09,13.94,13.94,13.31,13.37,49882000,0.0,0.0
2008-09-10,13.33,13.85,13.2,13.68,43936800,0.0,0.0
2008-09-11,13.36,14.14,13.28,14.06,47132000,0.0,0.0
2008-09-12,13.85,14.2,13.72,14.2,28240400,0.0,0.0
2008-09-15,13.6,14.06,13.52,13.75,38734400,0.0,0.0
2008-09-16,13.2,13.66,12.88,13.15,83596400,0.0,0.0
2008-09-17,13.04,13.46,12.68,12.7,67536800,0.0,0.0
2008-09-18,12.72,13.32,11.57,13.25,84189200,0.0,0.0
2008-09-19,14.07,14.1,13.28,13.78,68941600,0.0,0.0
2008-09-22,13.65,13.67,12.86,12.91,46266400,0.0,0.0
2008-09-23,13.05,13.37,12.7,13.25,43803600,0.0,0.0
2008-09-24,13.28,13.42,12.98,13.01,24532400,0.0,0.0
2008-09-25,13.03,13.17,12.79,12.8,23895200,0.0,0.0
2008-09-26,12.43,12.56,12.05,12.29,51171200,0.0,0.0
2008-09-29,11.95,11.98,11.07,11.45,78439200,0.0,0.0
2008-09-30,11.17,12.17,11.17,12.16,38720400,0.0,0.0
2008-10-01,12.04,12.3,11.73,12.15,27054000,0.0,0.0
2008-10-02,12.18,12.18,11.35,11.41,35216000,0.0,0.0
2008-10-03,11.7,11.92,11.16,11.26,58355600,0.0,0.0
2008-10-06,10.58,11.1,9.96,10.97,87360800,0.0,0.0
2008-10-07,11.09,11.18,10.03,10.13,75845600,0.0,0.0
2008-10-08,9.71,10.78,9.46,10.43,75210400,0.0,0.0
2008-10-09,10.66,11.08,9.79,9.88,42537600,0.0,0.0
2008-10-10,9.31,10.69,9.31,10.3,72541600,0.0,0.0
2008-10-13,10.89,11.69,10.62,11.66,49433200,0.0,0.0
2008-10-14,12.28,12.31,10.95,11.41,53142400,0.0,0.0
2008-10-15,11.0,11.09,9.61,9.86,76699200,0.0,0.0
2008-10-16,9.94,10.57,9.52,10.51,56062800,0.0,0.0
2008-10-17,10.2,10.91,10.2,10.35,35098400,0.0,0.0
2008-10-20,10.56,10.66,10.13,10.3,35965600,0.0,0.0
2008-10-21,10.17,10.51,9.96,10.04,28995600,0.0,0.0
2008-10-22,9.9,10.3,9.51,9.61,40243600,0.0,0.0
2008-10-23,9.66,9.82,9.06,9.57,47970000,0.0,0.0
2008-10-24,8.68,9.61,8.67,9.51,40798800,0.0,0.0
2008-10-27,9.31,9.75,9.2,9.23,41901600,0.0,0.0
2008-10-28,9.49,10.22,9.32,9.9,58436000,0.0,0.0
2008-10-29,9.99,10.6,9.81,10.04,55994400,0.0,0.0
2008-10-30,10.02,11.13,10.02,10.75,74913200,0.0,0.0
2008-10-31,10.68,11.11,10.5,10.97,40372800,0.0,0.0
2008-11-03,11.08,11.11,10.28,10.4,28425200,0.0,0.0
2008-11-04,10.77,11.98,10.67,11.85,73603600,0.0,0.0
2008-11-05,11.55,11.73,11.18,11.19,44992000,0.0,0.0
2008-11-06,10.9,11.09,10.05,10.21,52092800,0.0,0.0
2008-11-07,10.39,10.86,10.17,10.6,30906400,0.0,0.0
2008-11-10,10.96,10.96,10.14,10.3,26516800,0.0,0.0
2008-11-11,10.1,10.89,9.98,10.66,32392800,0.0,0.0
2008-11-12,10.47,11.11,10.22,10.33,42746000,0.105,0.0
2008-11-13,10.36,10.9,9.96,10.87,38733600,0.0,0.0
